Date,Trend
2018-06-01,22
2018-06-02,4
2018-06-03,3
2018-06-04,24
2018-06-05,44
2018-06-06,30
2018-06-07,18
2018-06-08,19
2018-06-09,5
2018-06-10,3
2018-06-11,22
2018-06-12,40
2018-06-13,27
2018-06-14,32
2018-06-15,33
2018-06-16,5
2018-06-17,7
2018-06-18,20
2018-06-19,23
2018-06-20,23
2018-06-21,23
2018-06-22,17
2018-06-23,5
2018-06-24,1
2018-06-25,15
2018-06-26,16
2018-06-27,18
2018-06-28,15
2018-06-29,21
2018-06-30,3
2018-07-01,4
2018-07-02,14
2018-07-03,17
2018-07-04,2
2018-07-05,15
2018-07-06,17
2018-07-07,4
2018-07-08,4
2018-07-09,36
2018-07-10,25
2018-07-11,20
2018-07-12,19
2018-07-13,17
2018-07-14,2
2018-07-15,5
2018-07-16,16
2018-07-17,14
2018-07-18,19
2018-07-19,19
2018-07-20,11
2018-07-21,3
2018-07-22,4
2018-07-23,13
2018-07-24,12
2018-07-25,23
2018-07-26,37
2018-07-27,100
2018-07-28,17
2018-07-29,15
2018-07-30,42
2018-07-31,41
2018-08-01,25
2018-08-02,21
2018-08-03,24
2018-08-04,4
2018-08-05,2
2018-08-06,19
2018-08-07,23
2018-08-08,19
2018-08-09,21
2018-08-10,14
2018-08-11,5
2018-08-12,3
2018-08-13,23
2018-08-14,19
2018-08-15,18
2018-08-16,16
2018-08-17,19
2018-08-18,2
2018-08-19,3
2018-08-20,17
2018-08-21,20
2018-08-22,15
2018-08-23,15
2018-08-24,11
2018-08-25,5
2018-08-26,2
2018-08-27,17
2018-08-28,21
2018-08-29,13
2018-08-30,18
2018-08-31,12
2018-09-01,4
2018-09-02,2
2018-09-03,2
2018-09-04,14
2018-09-05,17
2018-09-06,29
2018-09-07,17
2018-09-08,5
2018-09-09,2
2018-09-10,12
2018-09-11,11
2018-09-12,17
2018-09-13,16
2018-09-14,11
2018-09-15,2
2018-09-16,3
2018-09-17,15
2018-09-18,12
2018-09-19,15
2018-09-20,14
2018-09-21,11
2018-09-22,3
2018-09-23,2
2018-09-24,16
2018-09-25,11
2018-09-26,12
2018-09-27,12
2018-09-28,13
2018-09-29,3
2018-09-30,3
2018-10-01,12
2018-10-02,11
2018-10-03,10
2018-10-04,10
2018-10-05,8
2018-10-06,4
2018-10-07,2
2018-10-08,10
2018-10-09,8
2018-10-10,13
2018-10-11,13
2018-10-12,15
2018-10-13,2
2018-10-14,3
2018-10-15,10
2018-10-16,15
2018-10-17,14
2018-10-18,12
2018-10-19,11
2018-10-20,2
2018-10-21,1
2018-10-22,11
2018-10-23,13
2018-10-24,14
2018-10-25,42
2018-10-26,26
2018-10-27,3
2018-10-28,2
2018-10-29,16
2018-10-30,18
2018-10-31,19
2018-11-01,14
2018-11-02,10
2018-11-03,3
2018-11-04,3
2018-11-05,6
2018-11-06,9
2018-11-07,8
2018-11-08,10
2018-11-09,10
2018-11-10,2
2018-11-11,1
2018-11-12,6
2018-11-13,7
2018-11-14,10
2018-11-15,9
2018-11-16,10
2018-11-17,3
2018-11-18,1
2018-11-19,11
2018-11-20,11
2018-11-21,8
2018-11-22,2
2018-11-23,4
2018-11-24,1
2018-11-25,1
2018-11-26,14
2018-11-27,7
2018-11-28,9
2018-11-29,12
2018-11-30,8
2018-12-01,2
2018-12-02,3
2018-12-03,13
2018-12-04,12
2018-12-05,4
2018-12-06,12
2018-12-07,11
2018-12-08,1
2018-12-09,3
2018-12-10,9
2018-12-11,8
2018-12-12,11
2018-12-13,7
2018-12-14,9
2018-12-15,2
2018-12-16,2
2018-12-17,9
2018-12-18,12
2018-12-19,8
2018-12-20,21
2018-12-21,15
2018-12-22,4
2018-12-23,2
2018-12-24,8
2018-12-25,7
2018-12-26,9
2018-12-27,8
2018-12-28,6
2018-12-29,1
2018-12-30,1
2018-12-31,6
